system:index,m_10,m_11,m_4,m_5,m_6,m_7,m_8,m_9,name,state,year,.geo
2_0_0,0.7717016,0.25697002,0.5899026,0.7982637,0.82647324,0.48946032,0.84267634,0.7851881,161_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.75120948894417,55.292653210482726]}"
2_1_0,0.5558865,0.0956962,0.22881263,0.6462951,0.8336494,0.7340216,0.7943932,0.66554624,43E_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.384167012416636,55.20407932346854]}"
2_2_0,0.18452542,0.018128792,0.2638037,0.80922383,0.83012456,0.6444546,0.7768635,0.7855856,313_2020,0,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.53255954878948,55.786187627577995]}"
2_3_0,0.5946999,0.3699035,0.38724992,0.8410795,0.8974464,0.8651628,0.8785785,0.8023582,134_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.13461045220638,55.60724322298138]}"
2_4_0,0.61299855,0.18158653,0.4008049,0.8259962,0.8452184,0.59765697,0.876725,0.10021946,77E_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.50957182607972,55.44195321070339]}"
2_5_0,0.6353982,0.5450268,0.41031894,0.85702455,0.9038977,0.87250584,0.86384547,0.7968168,134_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.138203713342858,55.60742288603821]}"
2_6_0,0.53935325,0.090207115,0.23352662,0.5742424,0.69914263,-100.0,0.77536535,0.55112106,P_35_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.875356661209487,55.499625051943866]}"
2_7_0,0.57587546,0.38927683,0.4005217,0.78101945,0.8911033,0.85241455,0.8538866,0.71820396,122_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.103169417262198,55.59790074402654]}"
2_8_0,0.55757856,0.1918053,0.29245254,0.7528259,0.890297,0.84539264,0.844569,0.69192517,76E_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.506517554113714,55.44374984127163]}"
2_9_0,0.5947632,0.37101063,0.2702894,0.7327663,0.84602296,0.8302614,0.87020904,0.5431174,28k_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.442018516713933,55.1940181922864]}"
2_10_0,0.67397815,0.32154897,0.398487,0.8783295,0.8979581,0.8252088,0.8174987,0.8200677,213_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.363676275375006,55.418237687202634]}"
2_11_0,0.6411743,0.16983572,0.2917381,0.5962773,0.86220056,0.595465,0.8453419,0.7546995,152_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.779236925808696,55.25833756662936]}"
2_12_0,0.52832675,0.024427716,0.29408157,0.8083728,0.88515353,0.82770425,0.7490334,0.5673727,134_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.139641017797448,55.60993816883374]}"
2_13_0,0.69650507,0.18004657,0.3404997,0.72069824,0.78208864,0.71384263,0.80027574,0.7764596,159_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.750131510603225,55.29588714550556]}"
2_14_0,0.17195396,0.044463947,0.31448558,0.65089214,0.7022274,0.5644157,0.65537477,0.6636613,313_2020,0,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.532379885732652,55.78690627980529]}"
2_15_0,0.76178116,0.22956999,0.49618322,0.87251616,0.8854547,0.38986665,0.8742195,0.8330767,161_2019,1,y2018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.74851454309181,55.2931921996532]}"
