system:index,m_10,m_11,m_4,m_5,m_6,m_7,m_8,m_9,name,state,year,.geo
2_0_0,0.022344735,0.01807866,0.15600033,0.125872,0.6159569,0.27884957,0.472036,0.10366041,20k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.80240431157528,55.66132180308538]}"
2_1_0,0.04182273,0.020753795,0.07137413,0.087062314,0.11427208,0.26713538,0.32851985,0.044598375,11e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.222286023936444,55.205157301809486]}"
2_2_0,0.0376426,0.008450179,0.10782857,0.07518428,0.54675,0.32509103,0.3664575,0.09565217,40k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.21616833144073,55.75294996206557]}"
2_3_0,0.0531463,0.02393583,0.07299047,0.29324338,0.59273213,0.39265954,0.4266113,0.08879523,54e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.816791078966745,55.32822649573386]}"
2_4_0,0.037918188,0.015376674,0.106504954,0.32742426,0.5531577,0.17156371,0.3668365,0.048608918,49e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.7585802485558,55.3293044740748]}"
2_5_0,0.032072876,0.01482181,0.07395646,0.30042717,0.58202195,0.37308627,0.40311626,0.10381158,54e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.815533437568977,55.32750784350657]}"
2_6_0,0.056111094,0.015274312,0.07447695,0.15860131,0.39229685,0.278717,0.46004927,0.03534876,33k_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.555920320458437,55.214679443821154]}"
2_7_0,0.05607718,0.01149273,0.06313265,0.2727238,0.38215125,0.24618447,0.42246777,0.04441336,33k_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.556279646572083,55.21683540050304]}"
2_8_0,0.047940977,0.019049369,0.081021555,0.20070902,0.3014126,0.302222,0.4445517,0.06863205,59e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.86260515845684,55.333436724381755]}"
2_9_0,0.06315146,0.022467453,0.09108553,0.18741299,0.40034494,0.23284411,0.58562046,0.07784572,61e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.860089875661306,55.34044358359788]}"
2_10_0,0.026698,0.012960204,0.1258547,0.058208954,0.45635775,0.43118858,0.39156055,0.0513834,46k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.21383271170202,55.76390940853183]}"
2_11_0,0.06826339,0.017597424,0.05451883,0.11936806,0.22801287,0.31226993,0.42284417,0.032941587,3k_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.081430187386506,55.09915609828338]}"
2_12_0,0.03705761,0.017357169,0.07903978,0.2939107,0.5632508,0.35390675,0.3977105,0.08949495,54e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.816791078966745,55.327687506563386]}"
2_13_0,0.022680502,0.01153113,0.07778354,0.10393925,0.4191408,0.25111035,0.41920438,0.05632653,19k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.830431748439807,55.65197932413054]}"
2_14_0,0.030002447,0.013505279,0.11892116,0.07707445,0.5248307,0.27954245,0.3311608,0.023198012,40k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.216347994497553,55.75330928817922]}"
2_15_0,0.020686401,0.019806901,0.09300229,0.11439842,0.39904115,0.28004816,0.37984765,0.079214625,19k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.82953343315569,55.65269797635783]}"
2_16_0,0.049807668,0.009182927,0.10265792,0.14736535,0.15653425,0.2241283,0.30946958,0.03178522,39e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.48333644550158,55.22653720557153]}"
2_17_0,0.029362218,0.017926425,0.08822022,0.34325385,0.6273863,0.34081712,0.4569228,0.123592705,54e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.814455459228036,55.32750784350657]}"
2_18_0,0.05357023,0.0061273198,0.048078496,0.2664138,0.35150734,0.2919697,0.5652174,0.02974273,50e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.72911550723668,55.34331819250707]}"
2_19_0,0.0144512635,0.011773231,0.11974181,0.06280471,0.6008202,0.41072202,0.30886176,0.056758337,12k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.863489750895408,55.63329436622085]}"
2_20_0,0.029823346,0.014383755,0.14421953,0.09563887,0.26440528,0.44875008,0.37908015,0.02923077,49k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.205388548031298,55.77415020277079]}"
2_21_0,0.04904093,0.020960964,0.072641015,0.116449654,0.18922928,0.4287248,0.5073628,0.04078152,45e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.673779285734916,55.30379232000581]}"
2_22_0,0.07150966,0.019677997,0.11622741,0.29297477,0.36889794,0.17143956,0.26978,0.05068192,53e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.7217493219069,55.368650683519235]}"
2_23_0,0.072824426,0.012249446,0.09351427,0.19592668,0.4107399,0.19792457,0.36778975,0.04325818,46e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.748698780430484,55.34026392054106]}"
2_24_0,0.07428562,0.021833898,0.06204911,0.11285313,0.21846123,0.13874723,0.38857913,0.032991815,25e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.34301959812211,55.27756151370952]}"
2_25_0,0.028726548,0.020140272,0.050110538,0.13664037,0.21910259,0.12612343,0.4075547,0.039535094,25e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.339785663099278,55.27630387231175]}"
2_26_0,0.10248497,0.014800534,0.1157994,0.26124486,0.3136509,0.10594022,0.37270877,0.024944393,29e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.57460527836812,55.252588348810995]}"
2_27_0,0.038141847,0.01698199,0.061631642,0.12689431,0.12010448,0.18176666,0.33402634,0.047551766,11e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.2256996220161,55.20928955211644]}"
2_28_0,0.011868202,0.019434974,0.1260118,0.06608479,0.44122237,0.15043351,0.32977945,0.02022756,10k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.888822241907576,55.63850459486874]}"
2_29_0,0.054816946,0.029026365,0.061995804,0.25006372,0.25732392,0.16258116,0.5949037,0.048590604,20e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.274208647358556,55.23821530426508]}"
2_30_0,0.02070557,0.019961225,0.09547322,0.0994932,0.6308308,0.24936554,0.471333,0.09041731,3k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.922778559647295,55.634013018448144]}"
2_31_0,0.0665195,0.013581876,0.030115321,0.106066726,0.28728673,0.13901328,0.11582891,0.050791025,7e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.193180608730973,55.16904502738788]}"
2_32_0,0.023877729,0.010736854,0.11247803,0.0400782,0.5138694,0.37128624,0.38187927,0.07227533,77k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.69155220551493,55.52837114103569]}"
2_33_0,0.03246106,0.013363984,0.1925211,0.03656203,0.5901431,0.17504522,0.3531601,0.052739523,29k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.081600701879626,55.69096620746132]}"
2_34_0,0.06820215,0.01735241,0.09584143,0.385948,0.33164752,0.39549717,0.4655943,0.06730719,4e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.128322245217543,55.12844117654568]}"
2_35_0,0.04055491,0.014297563,0.15295911,0.2627839,0.35599664,0.090078086,0.41931424,0.05205329,47e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.76181418357863,55.33846728997282]}"
2_36_0,0.015980972,0.02264032,0.21832615,0.06904877,0.6229507,0.2961113,0.38105816,0.07988068,8k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.905890232305847,55.63994189932333]}"
2_37_0,0.050006855,0.02079461,0.14185551,0.18607135,0.35274336,0.11753009,0.44186047,0.047795843,47e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.759298900783097,55.338646953029645]}"
2_38_0,0.03701719,0.01838955,0.107361965,0.058715597,0.6327419,0.19509543,0.36091682,0.13425185,71k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.72694582770924,55.52926945631981]}"
2_39_0,0.059156023,0.026996072,0.046674628,0.10249735,0.3462827,0.11825086,0.13100687,0.04281868,7e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.19210263039003,55.170302668785645]}"
2_40_0,0.06527914,0.015117918,0.042822424,0.2327404,0.22381671,0.28590962,0.42632738,0.027426697,27e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.603171704403124,55.248815424617696]}"
2_41_0,0.06296055,0.020924175,0.059027247,0.18906073,0.26490954,0.21375701,0.38268298,0.021137197,26k_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.60083608466441,55.25061205518593]}"
2_42_0,0.0682954,0.019864812,0.104671136,0.17163526,0.15682301,0.25965407,0.57833874,0.03203864,13e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.23899468822107,55.238754293435555]}"
2_43_0,0.02198222,0.010666853,0.14887148,0.05334062,0.6098918,0.5610494,0.32616627,0.028351558,33k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.06704799427689,55.69168485968862]}"
2_44_0,0.058932126,0.017301342,0.12900375,0.25510895,0.5023863,0.29489514,0.21568628,0.033170167,52e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.716898419372654,55.362003150416754]}"
2_45_0,0.029184455,0.012708292,0.13028318,0.028412601,0.53193957,0.2766623,0.40600842,0.06606691,40k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.215270016156612,55.7516923206678]}"
2_46_0,0.056169614,0.0149697,0.05227037,0.18055798,0.3861679,0.3574403,0.47579414,0.034830794,50e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.726240898327497,55.342419877222945]}"
2_47_0,0.055514533,0.018622896,0.09801379,0.1344812,0.19660926,0.29475024,0.53536665,0.059200965,45e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.67341995962127,55.303612656948985]}"
2_48_0,0.015287932,0.020567432,0.1383109,0.08118081,0.49843866,0.33030534,0.29689306,0.107534245,55k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.779227777244994,55.57238858995755]}"
2_49_0,0.03266009,0.014124052,0.15820636,0.044002336,0.5738775,0.17978853,0.41886312,0.031063942,26k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.093458463630004,55.69851205584793]}"
2_50_0,0.06718987,0.016758548,0.07550111,0.114342526,0.3413949,0.17420116,0.60469425,0.052666612,37e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.511184219309285,55.23426271701496]}"
2_51_0,0.04418981,0.02253899,0.058706257,0.1212804,0.1076372,0.15212838,0.27221638,0.042842533,11e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.22372332839104,55.207313258491375]}"
2_52_0,0.042346373,0.024944311,0.08180537,0.14577407,0.2846586,0.5059321,0.46781117,0.057889126,43e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.681684460235168,55.3082838964264]}"
2_53_0,0.033192035,0.021534221,0.07603481,0.20651881,0.23521587,0.26681477,0.4130815,0.032763664,18e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.27277134290396,55.23965260871967]}"
2_54_0,0.023108229,0.010760958,0.12575063,0.08855586,0.44702157,0.38717726,0.39531484,0.038903624,45k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.21329372253155,55.76355008241818]}"
2_55_0,0.014180758,0.021002237,0.094086215,0.06725146,0.35261253,0.264149,0.30112997,0.096244134,3k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.923137885760944,55.634013018448144]}"
2_56_0,0.06678813,0.023855321,0.06455849,0.18732342,0.35210243,0.15096198,0.34855768,0.050499264,33e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.56256785356092,55.25133070741323]}"
2_57_0,0.051079873,0.021241007,0.063472666,0.102796905,0.13751283,0.17253809,0.2409588,0.03808378,11e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.225519958959275,55.20803191071867]}"
2_58_0,0.027999563,0.01349644,0.14024699,0.08927809,0.20672052,0.47374937,0.4246269,0.12620638,49k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.206107200258593,55.77468919194126]}"
2_59_0,0.058573153,0.015839519,0.057712335,0.11744524,0.369549,0.13958989,0.1336261,0.037071742,7e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.19443825012874,55.16904502738788]}"
2_60_0,0.036909077,0.03912197,0.05986785,0.10018974,0.14951485,0.19072676,0.23256528,0.03500878,11e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.22066905642503,55.20623528015043]}"
2_61_0,0.043962993,0.022011423,0.074714415,0.068510994,0.29135525,0.29167226,0.21939763,0.064056024,56e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.86440178902508,55.3142127773016]}"
2_62_0,0.05698369,0.028629052,0.041669186,0.4733101,0.29704076,0.32196712,0.42883652,0.06807182,4e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.132454495524495,55.12915982877298]}"
2_63_0,0.07117168,0.014651838,0.041874256,0.10838497,0.40313366,0.041537512,0.11308677,0.036258917,7e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.19389926095827,55.171560310183416]}"
2_64_0,0.026895395,0.016256882,0.06134567,0.21748267,0.23213398,0.18354815,0.5723623,0.044864874,20e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.272412016790316,55.238035641208256]}"
2_65_0,0.06219485,0.017623875,0.081244394,0.10957282,0.14730206,0.23938939,0.3403729,0.02752729,39e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.48710936969488,55.22671686862835]}"
2_66_0,0.062492862,0.015536912,0.06057582,0.29423606,0.24771808,0.19238561,0.33971292,0.046889815,26k_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.597242823527935,55.25204935964052]}"
2_67_0,0.06769065,0.017027156,0.0662187,0.27943003,0.360071,0.33245423,0.4808771,0.028665029,50e_sh_2022,0,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.727678202782087,55.34259954027977]}"
2_68_0,0.025306717,0.022693608,0.0477416,0.12688655,0.24638294,0.12986806,0.40743092,0.039229553,25e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.339426336985632,55.276124209254924]}"
2_69_0,0.039822638,0.018185992,0.14914736,0.11392675,0.5795477,0.32414168,0.46784315,0.025036868,24k_br_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.10980780180098,55.70480026283676]}"
2_70_0,0.090521984,0.017380713,0.08634864,0.15412638,0.20522521,0.123565175,0.33801404,0.034121737,25e_sh_2022,1,y2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.34535521786082,55.27720218759587]}"
