system:index,m_10,m_11,m_4,m_5,m_6,m_7,m_8,m_9,name,state,year,.geo
2_0_0,0.554717,0.30452034,0.253781,0.7032229,0.7784495,0.7167593,0.6195764,0.653281,61e_sh_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.85937122343401,55.340084257484236]}"
2_1_0,0.5731942,0.47789752,0.43666962,0.7544811,0.7344658,0.6742897,0.647384,0.78845704,33e_sh_2022,0,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.561849201333626,55.251151044356405]}"
2_2_0,0.6930722,0.61123854,0.43104276,0.8482711,0.71333754,0.83500093,0.2017496,0.79136497,13e_sh_2022,0,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.240970981846132,55.23749665203779]}"
2_3_0,0.72187346,0.49387208,0.33195022,0.7034268,0.91032743,0.8520249,0.82783204,0.8542868,54e_sh_2022,0,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.81481478534168,55.328585821847504]}"
2_4_0,0.7615012,0.6350523,0.44262296,0.74103284,0.8287332,0.49324325,0.6738683,0.7629403,26k_sh_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.601015747721235,55.25079171824276]}"
2_5_0,0.71786124,0.34883085,0.37896493,0.77772325,0.87766564,0.75864977,0.6535434,0.78821266,54e_sh_2022,0,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.817330068137217,55.327148517392914]}"
2_6_0,0.50041384,0.4056703,0.23389143,0.8176532,0.8098788,0.5574424,0.4695195,0.55069584,3k_sh_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.080891198216033,55.09825778299926]}"
2_7_0,0.6395503,0.51018006,0.38908017,0.83392364,0.8246816,0.59662294,0.64049196,0.7987616,4e_sh_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.133891799979086,55.129339491829796]}"
2_8_0,0.6000602,0.4319061,0.23728195,0.6359512,0.7819623,0.7005763,0.65261996,0.6835296,65e_sh_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.86565943042285,55.345833475302605]}"
2_9_0,0.5186242,0.32218537,0.20970872,0.72564626,0.78824687,0.6608753,0.50670457,0.57021356,61e_sh_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.860089875661306,55.34044358359788]}"
2_10_0,0.6670705,0.38906127,0.37756383,0.7813065,0.88226384,0.7593985,0.8714362,0.85855913,66k_br_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.776353168335813,55.60975850577692]}"
2_11_0,0.7437199,0.5596618,0.3687468,0.8525427,0.8489999,0.7061684,0.480698,0.78027266,4e_sh_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.129400223558488,55.128620839602505]}"
2_12_0,0.7758395,0.39164585,0.276884,0.7883103,0.8982188,0.6636761,0.7618685,0.847953,54e_sh_2022,0,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.817150405080394,55.327687506563386]}"
2_13_0,0.66105056,0.6191744,0.4024062,0.6966204,0.8145757,0.82110524,0.89925927,0.8363558,39k_br_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.215449679213435,55.747739733417674]}"
2_14_0,0.7308657,0.6317479,0.42057848,0.8564308,0.8126445,0.82049114,0.19512194,0.81086093,13e_sh_2022,0,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.241150644902955,55.23713732592414]}"
2_15_0,0.57544756,0.5162242,0.5510459,0.7969311,0.893368,0.8230785,0.7241379,0.65415883,1k_br_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.924215864101885,55.63706729041415]}"
2_16_0,0.55039734,0.4133157,0.2771503,0.75860906,0.60102504,0.73123264,0.70594156,0.7915443,20e_sh_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.2745679734722,55.238754293435555]}"
2_17_0,0.6441228,0.5066409,0.2670744,0.8435576,0.85544086,0.7012581,0.59898245,0.75086874,4e_sh_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.12993921272896,55.12951915488662]}"
2_18_0,0.7336083,0.5275099,0.3383376,0.8600897,0.8632474,0.6762165,0.6679397,0.79553944,59e_sh_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.86116785400225,55.33415537660905]}"
2_19_0,0.38208655,0.35648996,0.29381442,0.50888073,0.71721965,0.7633319,0.64250255,0.40425533,23k_br_2022,1,y2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.157418511859312,55.716478361530314]}"
