system:index,m_10,m_11,m_4,m_5,m_6,m_7,m_8,m_9,name,state,year,.geo
2_28_0,0.19897288,0.46542826,0.44534633,0.5934338,0.874309,0.8268013,0.5356101,0.57576907,79_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.404459789274032,54.98165645912055]}"
2_29_0,0.026275244,0.1903904,0.30753723,0.76248974,0.83473605,0.7512979,0.6123139,0.5798741,248_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.900868815278482,55.22545922723059]}"
2_30_0,0.40659922,0.06981045,0.2644286,0.7436239,0.86330616,0.8087341,0.76016235,0.6750194,243_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.960337287087192,55.20713359543455]}"
2_31_0,0.07353379,0.43429878,0.31435445,0.8035061,0.7452301,0.4890692,0.65831685,0.73956215,255_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.88344149876656,55.2480967723904]}"
2_32_0,0.7178234,0.22416556,0.4036972,0.72239876,0.8602256,0.7246727,0.7157321,0.79317564,349_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.912546913972033,55.89039220053586]}"
2_33_0,0.04288026,0.26304182,0.3905638,0.6016343,0.3003611,0.72827137,0.82270485,0.8337317,267_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.824152690014675,55.258517229686184]}"
2_34_0,0.4839235,-0.036009002,0.38964579,0.5577501,0.74127847,0.65176505,0.5750038,0.78044987,13_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.4800979361969,55.0962814893742]}"
2_35_0,0.4500684,0.2994129,0.2711397,0.4188277,0.82947826,0.70845616,0.63290584,0.4646353,19_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.359005035897585,55.13850230772782]}"
2_36_0,0.4199328,0.6667762,0.36052036,0.2744015,0.39066246,0.7967183,0.8188567,0.7589425,301_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.56777350792696,55.75330928817922]}"
2_37_0,0.16480571,0.14033212,0.22368439,0.5510923,0.7539561,0.4963119,0.6054024,0.5298436,15_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.388829103330355,55.138142981614166]}"
2_38_0,0.1901745,0.3395074,0.25299627,0.44810006,0.68760467,0.4412276,0.41312784,0.4002899,214_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.40607675678545,54.98039881772278]}"
2_39_0,0.6960481,0.18049589,0.30335692,0.6994303,0.8807911,0.8567267,0.7317764,0.7877157,345_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.897814543312474,55.87979208018324]}"
