system:index,m_10,m_11,m_4,m_5,m_6,m_7,m_8,m_9,name,state,year,.geo
2_0_0,0.3899661,0.111933395,0.45566475,0.8135143,0.84637094,0.8416924,0.77884614,0.7104677,26_2020,1,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.366730547341014,55.125746230693316]}"
2_1_0,0.68679714,-0.0099486755,0.18924096,0.37250555,0.41915488,0.66596997,0.6825391,0.70954996,284_2020,0,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.04316195628301,55.88087005852419]}"
2_2_0,0.53846157,0.5742009,0.1836505,0.31374723,0.6712788,0.73879063,0.71417654,0.5873633,39k_2019,0,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.408960514258332,55.183957061104266]}"
2_3_0,0.5733064,0.29910243,0.2913871,0.4794679,0.86029756,0.5281214,0.6371771,0.62815946,124_2019,1,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.10927796119421,55.598080407083366]}"
2_4_0,0.58835423,0.5587465,0.36068195,0.44973546,0.7579557,0.76365715,0.7311412,0.5370864,53_2020,1,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.962672906825905,55.17048233184247]}"
2_5_0,0.53517586,0.3517902,0.3588217,0.63032395,0.895314,0.30523917,0.6356658,0.68396527,122_2019,1,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.103888069489493,55.59879905931066]}"
2_6_0,0.63659793,0.3670192,0.67626727,0.65565217,0.79935336,0.751917,0.5357625,0.5851735,14_2020,1,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.48027759925372,55.095023847976435]}"
2_7_0,0.5570978,-100.0,0.45340967,0.818561,0.90755147,0.8585178,0.85218304,0.83608586,6_2020,1,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.44793824902542,55.13077679628439]}"
2_8_0,0.5245528,-100.0,0.25385973,0.43784323,0.7404795,0.7616099,0.47460815,0.6500793,154_2020,1,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.418293844649472,55.11460712117024]}"
2_9_0,0.45149845,0.31268436,0.5069064,0.832273,0.868989,0.874005,0.8175697,0.83176893,30_2020,1,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.332055577374,55.141376916637]}"
2_10_0,0.63566226,0.32855865,0.6227217,0.8128571,0.9001072,0.8740823,0.7860497,0.81799436,138_2020,1,y2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.461053652173565,55.11963768676131]}"
